PI,,one perfect cover,Proportion
"[[4, 2], [3, 3], [1, 3], [3, 1]]-[4, 2]-4",Action : 4,0.2556
,Other actions: Best,0.8699000000000003
,Other actions: Average,"[0.5038000000000001, 0.8699000000000003, 0.18949999999999997, 0.20600000000000004]",0.4423000000000001

"[[4, 3], [5, 3], [1, 3], [3, 1]]-[4, 3]-4",Action : 4,0.7965000000000002
,Other actions: Best,0.8050000000000004
,Other actions: Average,"[0.3992, 0.46900000000000014, 0.3448, 0.8050000000000004]",0.5045000000000002

"[[4, 5], [6, 2], [2, 4], [3, 1]]-[4, 5]-4",Action : 4,0.9805000000000005
,Other actions: Best,0.9760000000000005
,Other actions: Average,"[0.9180000000000003, 0.9626000000000005, 0.7456000000000003, 0.9760000000000005]",0.9005500000000003

"[[5, 4], [7, 1], [1, 3], [3, 1]]-[5, 4]-4",Action : 4,1.0000000000000007
,Other actions: Best,0.9984000000000005
,Other actions: Average,"[0.6796000000000002, 0.9902000000000004, 0.9984000000000005, 0.9613000000000004]",0.9073750000000004

PI,,all max reward,Proportion
PI,,one no drones,Proportion
"[[5, 4], [3, 2], [8, 4], [5, 7]]-[5, 4]-4",Action : 4,0.025800000000000007
,Other actions: Best,0.2723000000000001
,Other actions: Average,"[0.10590000000000001, 0.2723000000000001, 0.15970000000000004, 0.096]",0.15847500000000003

"[[4, 5], [3, 2], [8, 4], [5, 6]]-[4, 5]-4",Action : 4,0.15250000000000002
,Other actions: Best,0.7208000000000003
,Other actions: Average,"[0.047999999999999994, 0.7208000000000003, 0.6069000000000001, 0.066]",0.36042500000000016

"[[4, 4], [3, 2], [8, 4], [5, 6]]-[4, 4]-4",Action : 4,0.029399999999999996
,Other actions: Best,0.32780000000000004
,Other actions: Average,"[0.15380000000000002, 0.32780000000000004, 0.13190000000000002, 0.0]",0.153375

"[[5, 5], [3, 2], [8, 4], [5, 6]]-[5, 5]-4",Action : 4,0.05820000000000001
,Other actions: Best,0.5473999999999999
,Other actions: Average,"[0.21600000000000003, 0.5473999999999999, 0.32120000000000004, 0.0]",0.27115

PI,,all regions,Proportion
"[[4, 0], [3, 0], [0, 6], [6, 4]]-[4, 0]-4",Action : 4,1.0000000000000016
,Other actions: Best,0.5257199999999993
,Other actions: Average,"[0.19999999999999982, 0.5257199999999993, 0.0, 0.0]",0.18142999999999979

"[[6, 0], [2, 1], [1, 7], [5, 4]]-[6, 0]-4",Action : 4,1.0000000000000016
,Other actions: Best,1.0000000000000016
,Other actions: Average,"[1.0000000000000016, 1.0000000000000016, 0.9000000000000001, 1.0000000000000016]",0.9750000000000012

"[[8, 0], [3, 2], [2, 6], [5, 4]]-[8, 0]-4",Action : 4,1.0000000000000016
,Other actions: Best,1.0000000000000016
,Other actions: Average,"[1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016]",1.0000000000000016

"[[7, 0], [3, 2], [1, 7], [6, 5]]-[7, 0]-4",Action : 4,1.0000000000000016
,Other actions: Best,1.0000000000000016
,Other actions: Average,"[1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016]",1.0000000000000016

"[[7, 2], [3, 2], [0, 6], [6, 5]]-[7, 2]-4",Action : 4,1.0000000000000016
,Other actions: Best,1.0000000000000016
,Other actions: Average,"[1.0000000000000016, 1.0000000000000016, 0.9907200000000017, 0.9910400000000001]",0.9954400000000012

LAST_1,,one perfect cover,Proportion
"[[4, 1], [6, 4], [6, 7], [3, 9]]-[6, 4]-4",Action : 4,0.7176000000000003
,Other actions: Best,0.9396000000000005
,Other actions: Average,"[0.9207000000000005, 0.9396000000000005, 0.4982000000000002, 0.8160000000000005]",0.7936250000000005

"[[3, 0], [5, 5], [6, 6], [4, 8]]-[5, 5]-4",Action : 4,0.7974000000000001
,Other actions: Best,0.6400000000000003
,Other actions: Average,"[0.5032000000000001, 0.529, 0.5846000000000001, 0.6400000000000003]",0.5642

"[[3, 1], [6, 4], [6, 6], [4, 8]]-[6, 4]-4",Action : 4,0.9368000000000004
,Other actions: Best,0.9517000000000005
,Other actions: Average,"[0.9517000000000005, 0.5389, 0.8398000000000002, 0.8120000000000005]",0.7856000000000003

"[[3, 1], [7, 5], [6, 6], [4, 8]]-[7, 5]-4",Action : 4,0.8962000000000004
,Other actions: Best,0.9220000000000005
,Other actions: Average,"[0.5790000000000002, 0.6063000000000002, 0.6888000000000004, 0.9220000000000005]",0.6990250000000003

"[[3, 1], [7, 3], [5, 6], [4, 8]]-[7, 3]-4",Action : 4,1.0000000000000007
,Other actions: Best,1.0000000000000007
,Other actions: Average,"[1.0000000000000007, 0.9468000000000005, 0.9536000000000004, 1.0000000000000007]",0.9751000000000005

