PI,,holes,Proportion
60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

70-3,Action : 3,0.9159654399999732
,Other actions: Best,0.9615385599999731
,Other actions: Average,"[0.9391846399999705, 0.9615385599999731, 0.9414809599999764]",0.9474013866666399

60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

70-3,Action : 3,0.9159654399999732
,Other actions: Best,0.9615385599999731
,Other actions: Average,"[0.9391846399999705, 0.9615385599999731, 0.9414809599999764]",0.9474013866666399

60-0,Action : 0,0.8656486399999718
,Other actions: Best,0.7444710399999961
,Other actions: Average,"[0.7444710399999961, 0.3270809599999928, 0.5958169599999734]",0.5557896533333208

PI,,holes,Proportion
32-3,Action : 3,0.621995519999993
,Other actions: Best,0.5153689599999932
,Other actions: Average,"[0.4447436799999967, 0.23376383999999786, 0.5153689599999932]",0.39795882666666255

22-2,Action : 2,0.5989862399999973
,Other actions: Best,0.5088793599999928
,Other actions: Average,"[0.2223667199999958, 0.5088793599999928, 0.4093004799999996]",0.38018218666666276

32-3,Action : 3,0.621995519999993
,Other actions: Best,0.5153689599999932
,Other actions: Average,"[0.4447436799999967, 0.23376383999999786, 0.5153689599999932]",0.39795882666666255

33-0,Action : 0,0.5882367999999968
,Other actions: Best,0.5043993599999921
,Other actions: Average,"[0.36585215999999976, 0.2048972799999958, 0.5043993599999921]",0.3583829333333292

23-2,Action : 2,0.6158796799999942
,Other actions: Best,0.6777779199999884
,Other actions: Average,"[0.5168844799999945, 0.6777779199999884, 0.29181951999999806]",0.495493973333327

24-3,Action : 3,0.7663999999999945
,Other actions: Best,0.6560563199999857
,Other actions: Average,"[0.5349350399999979, 0.29145343999998746, 0.6560563199999857]",0.49414826666665707

14-2,Action : 2,0.7803443199999952
,Other actions: Best,0.653189119999985
,Other actions: Average,"[0.2824575999999921, 0.653189119999985, 0.5261081599999985]",0.4872516266666585

15-1,Action : 1,0.7887027199999904
,Other actions: Best,0.6408601599999835
,Other actions: Average,"[0.6408601599999835, 0.5638527999999997, 0.29096191999999216]",0.4985582933333252

PI,,"states : [14, 15, 16, 24, 25, 26]",Proportion
12-1,Action : 1,0.2657663999999998
,Other actions: Best,0.17392896
,Other actions: Average,"[0.17392896, 0.07792127999999995, 0.03200256]",0.09461759999999998

22-2,Action : 2,0.3804364800000009
,Other actions: Best,0.29206271999999944
,Other actions: Average,"[0.12363264000000015, 0.29206271999999944, 0.25003775999999983]",0.2219110399999998

23-2,Action : 2,0.4242432000000005
,Other actions: Best,0.37797375999999233
,Other actions: Average,"[0.29325311999999915, 0.37797375999999233, 0.19950591999999967]",0.2902442666666637

24-3,Action : 3,0.5223295999999978
,Other actions: Best,0.43980543999999
,Other actions: Average,"[0.36560128000000064, 0.19593728000000107, 0.43980543999999]",0.33378133333333054

25-3,Action : 3,0.5489254399999938
,Other actions: Best,0.47425024000000116
,Other actions: Average,"[0.47425024000000116, 0.2204364799999998, 0.40605183999999167]",0.36691285333333085

15-1,Action : 1,0.46386175999999474
,Other actions: Best,0.43672831999999134
,Other actions: Average,"[0.43672831999999134, 0.18250496000000035, 0.1328537600000003]",0.2506956799999973

16-2,Action : 2,0.11982592000000099
,Other actions: Best,0.42734079999999397
,Other actions: Average,"[0.42734079999999397, 0.4130431999999985, 0.1164876800000004]",0.3189572266666643

17-3,Action : 3,0.028119039999999904
,Other actions: Best,0.07216895999999987
,Other actions: Average,"[0.07216895999999987, 0.028119039999999894, 0.012188160000000007]",0.037492053333333254

LAST_1,,holes,Proportion
56-2,Action : 2,0.7878983679999996
,Other actions: Best,0.8631393280000008
,Other actions: Average,"[0.801519616, 0.8631393280000008, 0.8631393280000005]",0.8425994240000004

57-3,Action : 3,0.6715878399999985
,Other actions: Best,0.8486768640000025
,Other actions: Average,"[0.7096212479999999, 0.7817390079999997, 0.8486768640000025]",0.7800123733333341

47-2,Action : 2,0.5659105279999982
,Other actions: Best,0.8227235840000011
,Other actions: Average,"[0.8227235840000011, 0.7022940159999996, 0.5946680320000005]",0.7065618773333338

37-1,Action : 1,0.4980628479999997
,Other actions: Best,0.780123136
,Other actions: Average,"[0.5518504960000002, 0.6004787200000004, 0.780123136]",0.6441507840000001

38-2,Action : 2,0.5249735680000007
,Other actions: Best,0.7636167680000029
,Other actions: Average,"[0.5946680319999993, 0.5068037119999979, 0.7636167680000029]",0.6216961706666667

39-3,Action : 3,0.3905766400000002
,Other actions: Best,0.7683589119999993
,Other actions: Average,"[0.5685713920000002, 0.7683589119999993, 0.4846504959999996]",0.6071935999999997

29-2,Action : 2,0.40533555199999965
,Other actions: Best,0.7831178240000033
,Other actions: Average,"[0.7831178240000033, 0.4846504959999989, 0.6128481279999995]",0.6268721493333339

19-0,Action : 0,0.5725527039999984
